Date,open,high,low,close,adj_close,volume
2002-07-01,31.500000,31.700001,30.500000,31.629999,2.914044,11750
2002-07-02,31.100000,31.799999,28.100000,31.514999,2.903450,5870
2002-07-03,30.799999,31.700001,30.605000,31.540001,2.905754,8440
2002-07-04,33.200001,33.200001,31.250000,32.255001,2.971625,14650
2002-07-05,31.115000,31.895000,31.000000,31.760000,3.664485,9260
2002-07-08,31.309999,33.500000,31.309999,32.610001,3.762560,17470
2002-07-09,32.500000,34.500000,32.500000,33.939999,3.916015,27110
2002-07-10,34.294998,34.500000,33.520000,34.259998,3.952936,20710
2002-07-11,32.514999,33.990002,32.514999,33.494999,3.864670,6690
2002-07-12,34.000000,34.500000,33.500000,33.575001,3.873901,5260
2002-07-15,31.889999,32.985001,30.299999,31.695000,3.656986,20260
2002-07-16,32.000000,32.070000,31.000000,31.290001,3.610258,4800
2002-07-17,31.025000,31.025000,30.700001,30.799999,3.553720,8830
2002-07-18,31.000000,31.900000,31.000000,31.465000,3.630448,6170
2002-07-19,31.200001,32.490002,31.200001,31.629999,3.649485,5650
2002-07-22,30.700001,31.350000,28.200001,29.719999,3.429109,23090
2002-07-23,30.000000,30.495001,29.700001,29.940001,3.454493,3500
2002-07-24,30.395000,30.400000,28.504999,29.000000,3.346035,7910
2002-07-25,29.500000,29.990000,29.209999,29.990000,3.460262,900
2002-07-26,29.500000,29.799999,28.000000,28.445000,3.281999,17030
2002-07-29,28.500000,28.500000,26.500000,27.000000,3.115275,22430
2002-07-30,28.350000,28.350000,26.500000,26.725000,3.083545,14050
2002-07-31,27.000000,27.000000,25.600000,26.465000,3.053545,21180
2002-08-01,27.000000,27.000000,26.105000,26.895000,3.103159,8260
2002-08-02,26.500000,27.500000,26.500000,27.270000,3.146427,1450
2002-08-05,27.000000,29.000000,27.000000,28.700001,3.311421,2800
2002-08-06,28.500000,29.000000,28.500000,28.995001,3.345459,7210
2002-08-07,29.500000,30.889999,29.315001,29.459999,3.399111,30360
2002-08-08,30.000000,30.000000,29.000000,29.030001,3.349497,9650
2002-08-09,29.985001,30.000000,29.125000,29.695000,3.426225,5410
2002-08-12,29.000000,29.799999,28.805000,29.330000,3.384111,7000
2002-08-13,29.000000,29.600000,28.924999,28.955000,3.340843,9560
2002-08-14,29.795000,30.000000,29.000000,29.940001,3.454493,5000
2002-08-15,29.940001,29.940001,29.940001,29.940001,3.454493,0
2002-08-16,29.500000,30.000000,29.500000,29.790001,3.437186,5000
2002-08-19,30.000000,30.000000,29.500000,29.995001,3.460840,7000
2002-08-20,29.205000,30.875000,29.205000,30.725000,3.545067,3850
2002-08-21,30.200001,30.200001,30.000000,30.000000,3.461416,40000
2002-08-22,30.000000,30.100000,29.000000,29.190001,3.367959,34000
2002-08-23,29.254999,29.254999,29.000000,29.000000,3.346035,16000
2002-08-26,30.100000,30.100000,29.000000,30.000000,3.461416,1560
2002-08-27,29.000000,29.000000,28.900000,28.900000,3.334497,500
2002-08-28,29.450001,29.495001,29.025000,29.100000,3.357572,2250
2002-08-29,28.775000,29.500000,28.684999,28.795000,3.322382,1180
2002-08-30,28.200001,29.400000,28.200001,29.400000,3.392188,460
2002-09-02,29.500000,29.990000,28.915001,28.959999,3.341420,3500
2002-09-03,29.094999,29.094999,28.280001,28.500000,3.288345,3580
2002-09-04,28.500000,28.500000,27.514999,27.795000,3.207002,4860
2002-09-05,28.500000,28.635000,27.799999,28.000000,3.230655,4660
2002-09-06,27.825001,28.000000,27.799999,27.799999,3.207578,2340
2002-09-09,27.510000,28.350000,27.510000,27.650000,3.190271,2000
2002-09-10,27.650000,27.650000,27.650000,27.650000,3.190271,0
2002-09-11,28.754999,28.754999,28.695000,28.695000,3.310844,400
2002-09-12,28.490000,28.490000,28.450001,28.450001,3.282576,800
2002-09-13,28.500000,28.500000,27.000000,27.155001,3.133158,8770
2002-09-16,27.000000,27.295000,26.860001,27.000000,3.115275,15000
2002-09-17,27.010000,27.150000,27.010000,27.139999,3.131427,1800
2002-09-18,27.200001,27.200001,27.025000,27.025000,3.118160,850
2002-09-19,27.000000,27.100000,27.000000,27.100000,3.126813,220
2002-09-20,26.950001,27.000000,26.940001,26.955000,3.110081,4570
2002-09-23,27.635000,27.635000,27.200001,27.200001,3.138351,2790
2002-09-24,27.000000,27.000000,26.504999,26.910000,3.104890,1200
2002-09-25,26.950001,26.950001,26.299999,26.625000,3.072006,1250
2002-09-26,26.625000,26.625000,26.625000,26.625000,3.072006,0
2002-09-27,27.280001,27.280001,26.799999,26.985001,3.113543,5000
